SiteID,SiteType
12554B,Downstream
12554A,Upstream
12555,Undisturbed
120,Upstream
12940,Downstream
12946,Undisturbed
12786B,Undisturbed
12783B,Upstream
10814,Downstream
10815,Upstream
10818,Undisturbed
12815,Undisturbed
12809,NA
12811,Upstream
12805B,Downstream
