"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.00517089194304215,0.0613221668754214,0.08432337287668,0.933266514739357
"logTN_mgL",-0.170037262986952,0.040110545636587,-4.23921590415493,0.000149130794796622
