"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.297885017661288,0.0793194062085893,-3.75551245149173,0.000629266494274026
"logTP_mgL",-0.0548163808913666,0.0223259915286588,-2.45527195605182,0.0191889782473802
