SiteID,Estimate,StdError,tValue,Pvalue,Variable
10118,2.70985941195922,0.305550699593313,8.86877174742534,1.42011436542205e-07,(Intercept)
10118,0.317479757207446,0.43211394335745,0.734713059108169,0.473145963715175,TreatmentN
10118,0.406340852106898,0.43211394335745,0.940355798171428,0.361016379541879,TreatmentP
10118,0.950077510583634,0.43211394335745,2.19867357947697,0.0429567437207874,TreatmentNP
10231,3.34649896809527,0.178299931686283,18.7689301753822,2.54247874674383e-12,(Intercept)
10231,1.13331545731726,0.252154181560938,4.49453366310078,0.00036767324333573,TreatmentN
10231,-0.430031968710899,0.252154181560938,-1.70543262875446,0.107448215583444,TreatmentP
10231,0.923833301029541,0.252154181560938,3.66376355652971,0.00209685975092821,TreatmentNP
10232,3.3510254653736,0.120543251925272,27.799361738233,5.67877916301129e-15,(Intercept)
10232,0.772599656722965,0.170473901725277,4.5320700054606,0.000340229834013198,TreatmentN
10232,-0.560785410106019,0.170473901725277,-3.28956751989955,0.00461971314944238,TreatmentP
10232,0.759190968601218,0.170473901725277,4.45341463366442,0.000400339714307617,TreatmentNP
10240,2.75502494734249,0.0732516762923211,37.6104013831462,4.83306587952267e-17,(Intercept)
10240,1.51526660988359,0.103593514079164,14.627041309996,1.11393151389074e-10,TreatmentN
10240,-0.269098624893894,0.103593514079164,-2.5976397005729,0.0194337433118127,TreatmentP
10240,1.42985173712992,0.103593514079164,13.802521806889,2.642665159548e-10,TreatmentNP
10267A,1.98926508656162,0.0955924053730866,20.8098653736951,5.18427342110446e-13,(Intercept)
10267A,2.02366651466121,0.135188076138486,14.9692677968742,7.8794142424663e-11,TreatmentN
10267A,-0.157038288843649,0.135188076138486,-1.16162825397988,0.262423092772173,TreatmentP
10267A,1.69820405313153,0.135188076138486,12.5617887437935,1.05741236782376e-09,TreatmentNP
10268B,2.60300430810604,0.104697163658148,24.8622237428059,3.26255488152505e-14,(Intercept)
10268B,1.52829823051711,0.148064148787348,10.3218655091995,1.76454648691766e-08,TreatmentN
10268B,-0.0592898648557257,0.148064148787348,-0.400433631917734,0.694133109664683,TreatmentP
10268B,1.75596456428392,0.148064148787348,11.8594850857911,2.43984086695329e-09,TreatmentNP
10283,3.59057340194748,0.161828666736624,22.1874991270313,1.75034648803791e-10,(Intercept)
10283,0.502423165058656,0.214079203593128,2.34690318641854,0.0386981724336213,TreatmentN
10283,-0.636451359423506,0.204698871038423,-3.10920796091758,0.00993950070857195,TreatmentP
10283,0.611388897088295,0.228860295279689,2.67145026768894,0.0217376301604473,TreatmentNP
10322,3.51723849662974,0.0962614933389695,36.5383745320088,7.63797220672745e-17,(Intercept)
10322,0.678613061541468,0.136134309414258,4.98487901001093,0.00013492205910778,TreatmentN
10322,-0.618752233128174,0.136134309414258,-4.54516011276265,0.000331159055222842,TreatmentP
10322,0.638282511766939,0.136134309414258,4.68862342280401,0.000246531384814605,TreatmentNP
10324,3.40143725612084,0.336156290587689,10.1186184859853,3.24343224286893e-06,(Intercept)
10324,1.73924695521415,0.433975905056327,4.0077039645517,0.00307449856237853,TreatmentN
10324,-0.519549435274282,0.411705692883293,-1.26194377259087,0.238690481492472,TreatmentP
10324,1.51046934287429,0.411705692883293,3.66880849350428,0.00516438552940653,TreatmentNP
10329,3.71888211137286,0.0601439121834222,61.8330596791127,1.78987755063623e-20,(Intercept)
10329,0.335520747761943,0.0850563363039722,3.94468845404847,0.00115937275666576,TreatmentN
10329,-0.185464436554509,0.0850563363039722,-2.18048936285829,0.0444962052961762,TreatmentP
10329,0.304867523667738,0.0850563363039721,3.58430114575133,0.00248011916407445,TreatmentNP
10767B,2.49559918072406,0.067523068755381,36.9592085597439,3.78464044766777e-16,(Intercept)
10767B,1.99488774173441,0.0954920396069108,20.8906182122226,1.67675199786174e-12,TreatmentN
10767B,-0.0407400641266314,0.0954920396069109,-0.426633092081144,0.675706376140052,TreatmentP
10767B,2.52381806598352,0.101284603133072,24.9180821952536,1.27774030741628e-13,TreatmentNP
10769,3.42892386107923,0.124002663995334,27.6520177115571,1.01734180580587e-05,(Intercept)
10769,0.0942503039353358,0.21477891431381,0.438824752590136,0.683450377940137,TreatmentN
10769,-0.688975262907296,0.160086750846427,-4.30376192448453,0.0126080466918978,TreatmentP
10769,0.208455134428692,0.175366249192595,1.18868445546644,0.300310510049666,TreatmentNP
10814,4.01359079151243,0.0619015053872871,64.8383390097119,8.68858281956334e-20,(Intercept)
10814,0.302733466516174,0.0830495843733261,3.6452135046856,0.00239320897342839,TreatmentN
10814,-0.112866379521507,0.0830495843733261,-1.35902401406547,0.194223380216805,TreatmentP
10814,0.216043764891363,0.0830495843733261,2.6013828548521,0.0200437464753748,TreatmentNP
10815,3.00252562134679,0.157461346457259,19.0683344763712,1.99402819286627e-12,(Intercept)
10815,0.447881303655336,0.222683971709384,2.01128666880366,0.0614542384928685,TreatmentN
10815,-1.00568647997409,0.222683971709384,-4.51620506071523,0.000351564381293782,TreatmentP
10815,0.166350608512407,0.222683971709384,0.747025514389082,0.465885116504801,TreatmentNP
10818,2.04271137895771,0.132790973483762,15.38290838125,5.23257082788142e-11,(Intercept)
10818,0.515913095602963,0.187794795661463,2.7472172153961,0.0143157216824743,TreatmentN
10818,-0.394882331837506,0.187794795661463,-2.10273309463463,0.051670095201593,TreatmentP
10818,0.401668689027021,0.187794795661463,2.13887018334154,0.0482132322324724,TreatmentNP
120,4.48625186200557,0.0602270622708086,74.4889704537359,9.1862526882941e-22,(Intercept)
120,0.374905955747559,0.0851739282852664,4.4016515768994,0.000445710491957897,TreatmentN
