SiteID,Eco3ID
10118,21
10231,21
10232,21
10240,21
10267A,21
10268B,21
10283,21
10322,21
10324,21
10329,21
10767B,21
10769,21
10770A,21
10814,21
10815,21
10818,21
120,21
12554A,21
12554B,21
12555,21
12783B,21
12786B,21
12805B,21
12809,21
12811,21
12815,21
12940,21
12946,21
138A,21
5574,25
5577,25
5580,21
9240,21
9245,21
9274,21
9372,21
9717,20
9853,21
9862,21
