contrast,estimate,SE,df,lower.CL,upper.CL
N - C,0.856318828288611,0.0714295129182139,589.681423245882,0.667751829019128,1.04488582755809
P - C,-0.427099497091298,0.0713934137333005,590.024942240844,-0.615570828365636,-0.23862816581696
NP - C,0.898911898350678,0.0720419369872316,589.39872219851,0.708727851536305,1.08909594516505
NP - N,0.0425930700620669,0.0715952208303449,589.916965231906,-0.146411127837173,0.231597267961307
NP - P,1.32601139544198,0.0714384508794406,589.720841788609,1.13742084328491,1.51460194759904
N - P,1.28341832537991,0.0707102225691382,589.659966106552,1.09675016011799,1.47008649064183
