"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",2.65264331235838,0.663111218164199,31.0305710151579,4.00029925553383,0.000364520055332753
"TreatmentN",0.856318828288611,0.0714295129182139,589.681423245882,11.9883055799231,8.68781646364829e-30
"TreatmentP",-0.427099497091298,0.0713934137333005,590.024942240844,-5.98233751206777,3.8154659586111e-09
"TreatmentNP",0.898911898350678,0.0720419369872316,589.39872219851,12.4776197856812,7.13796550842394e-32
"WaterTemp_C",0.0664803384787405,0.0295562080818486,30.6637831965215,2.24928510093851,0.0318222788143489
"Slope_AvgBasinwide_pct",-0.0168307389215473,0.00805277102124858,30.9481000806058,-2.0900555693359,0.0449227904977917
