Rack	Group	Chla (mg/m2)
1	C	26.77455059
1	C	27.45238731
1	C	34.56967291
1	C	36.26426472
1	C	47.1096523
1	N	57.95503988
1	N	60.66638678
1	N	67.44475402
1	N	70.49501927
1	N	77.27338651
1	NP	55.92152971
1	NP	56.9382848
1	NP	61.3442235
1	NP	61.3442235
1	NP	88.11877409
1	P	12.53997939
1	P	15.59024465
1	P	18.97942827
1	P	19.31834663
1	P	27.45238731
